id,title,tags,vote_average,vote_count,popularity,release_date,original_language,popularity_score,vote_score,collab_score,semantic_score,final_score
157336,Interstellar,interstellar chronicl the adventur of a group of explor who make use of a newli discov wormhol to surpass the limit on human space travel and conquer the vast distanc involv in an interstellar voyage. adventur drama sciencefict savingtheworld artificialintellig fathersonrelationship singlepar nasa expedit wormhol spacetravel famin blackhol dystopia raceagainsttim quantummechan spaceship space rescu familyrelationship farmhous robot astronaut scientist fatherdaughterrelationship singlefath farmer spacest imax astrophys zerograv courag timeparadox rel matthewmcconaughey jessicachastain annehathaway christophernolan,8.1,11187.0,32.213481,2014-11-05,en,0.17406022444631652,0.8099999999999999,0.7056775,0.45795584,0.602681168624878
274870,Passengers,"a spacecraft travel to a distant coloni planet and transport thousand of peopl ha a malfunct in it sleep chambers. as a result, two passeng are awaken 90 year early. adventur drama romanc sciencefict malenud android asteroid isol shower nuditi autom hibern swimmingpool spaceship space outerspac robot spacest lie graviti trappedinspac malfunct 3d jenniferlawr chrispratt michaelsheen mortentyldum",6.7,4134.0,20.303632,2016-12-21,en,0.10970732231625059,0.67,0.7056775,0.12191051,0.4066585062236786
3007,Woman in the Moon,"a scientist discov that there' gold on the moon, he build a rocket to fli there, but there' too much rivalri among the crew to have a sucess expedition. drama comedi sciencefict romanc moon futur spacetravel willyfritsch gerdamauru klauspohl fritzlang",6.7,16.0,1.235633,1929-10-14,de,0.006676538847610893,0.67,0.8303770750808038,0.024594188,0.39541021639249674
18,The Fifth Element,"in 2257, a taxi driver is unintent given the task of save a young girl who is part of the key that will ensur the surviv of humanity. adventur fantasi action thriller sciencefict clone taxi cyborg egypt futur stowaway spacetravel raceagainsttim armsdeal love alien priest endoftheworld goodvsevil shootout policechas cabdriv newyorkc spaceopera militari operasing resorthotel ancientastronaut archeologist ancientevil cruiselin brucewilli garyoldman ianholm lucbesson",7.3,3962.0,24.30526,1997-05-07,en,0.1313294583353497,0.73,0.7021562644441915,0.07187301,0.3925833839356897
25518,La Belle verte,"as part of an intergalact coalition, a well-mean space alien volunt to bring a messag of self-actu and harmoni with natur to the one planet reject by all her peer as incorrigible: earth. comedi womandirector colineserreau vincentlindon jamesthiérré colineserreau",7.5,32.0,2.010173,1996-09-18,fr,0.010861637820387229,0.75,0.7056775,0.042562068,0.3829842837543488
20043,Royal Space Force - The Wings Of Honneamise,"on a futur earth, war between the kingdom of honneamis and it rival, the republic, is inevitable. as evolv technolog creat new way to wage war, a small group seek to propel mankind into space in their world’ first spaceflight program. for astronaut candid shirotsugh lhadatt, it’ a person odyssey as he grow from an aimless young man into a leader will to put everyth on the line in order to move the human race forward and away from the brink of armageddon. anim sciencefict space parallelworld alternateworld anim leomorimoto mitsukiyayoi ayamurata hiroyukiyamaga",6.7,27.0,2.988405,1987-03-14,ja,0.016147352874918874,0.67,0.7056775,0.062461615,0.37693405730438234
152601,Her,"in the not so distant future, theodore, a lone writer purchas a newli develop oper system design to meet the user' everi needs. to theordore' surprise, a romant relationship develop between him and hi oper system. thi unconvent love stori blend scienc fiction and romanc in a sweet tale that explor the natur of love and the way that technolog isol and connect us all. romanc sciencefict drama artificialintellig comput love loneli transhuman heartbreak nearfutur singular bittersweet joaquinphoenix scarlettjohansson rooneymara spikejonz",7.9,4215.0,13.829515,2013-12-18,en,0.07472550032341121,0.79,0.7056775,0.0029067397,0.3711566198558808
329865,Arrival,"take place after alien craft land around the world, an expert linguist is recruit by the militari to determin whether they come in peac or are a threat. thriller drama sciencefict mysteri spacecraft languag loss romanc alien femaleprotagonist scientist famili heartbreak basedonshortstori nonlineartimelin militari alienlanguag linguist firstcontact commun linguist amyadam jeremyrenn forestwhitak denisvilleneuv",7.2,5729.0,30.83786,2016-11-10,en,0.16662728356007492,0.72,0.7056775,0.026704311,0.3690554056854248
16320,Serenity,"when the renegad crew of seren agre to hide a fugit on their ship, they find themselv in an action-pack battl between the relentless militari might of a totalitarian regim who will destroy anyth – or anyon – to get the girl back and the bloodthirsti creatur who roam the unchart area of space. but... the greatest danger of all may be on their ship. sciencefict action adventur thriller martialart telepathi dystopia spaceship fugit basedontvseri planet throatslit cannib reaver oper exsoldi firefli nathanfillion ginatorr alantudyk josswhedon",7.4,1287.0,11.919995,2005-08-25,en,0.06440772436542858,0.74,0.7056775,0.016477466,0.3679419828147888
54138,Star Trek Into Darkness,"when the crew of the enterpris is call back home, they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for, leav our world in a state of crisis. with a person score to settle, captain kirk lead a manhunt to a war-zon world to captur a one man weapon of mass destruction. as our hero are propel into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrific must be made for the onli famili kirk ha left: hi crew. action adventur sciencefict spacecraft friendship sequel futurist space alien imax spaceopera terroristbomb 3d chrispin zacharyquinto zoesaldana j.j.abram",7.4,4479.0,15.78129,2013-05-05,en,0.08527159419537461,0.74,0.7056775,0.015243053,0.3673247767181396
